#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
85,Nitroplus Blasterz: Heroines Infinite Duel,"Dec 8, 2016",$19.99,N/A (N/A/63%),"100,000 .. 200,000",0%,00:00 (00:00),EXAMU,"XSEED Games, Marvelous USA, Inc., Marvelous",Visual Novel
88,Analogue: A Hate Story,"Apr 27, 2012",$9.99,N/A (N/A/62%),"100,000 .. 200,000",0%,00:00 (00:00),Love Conquers All Games,Love Conquers All Games,Visual Novel
90,Beyond Eyes,"Aug 11, 2015",,N/A (N/A/60%),"100,000 .. 200,000",0%,00:00 (00:00),"Tiger and Squid, Team17 Digital Ltd",Team17 Digital Ltd,Visual Novel
100,Love Thyself - A Horatio Story,"Apr 1, 2019",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),AMPLITUDE Studios,SEGA,Visual Novel
101,Lovers of Aether,"Apr 1, 2019",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Dan Fornace,Dan Fornace,Visual Novel
113,東方翠神廻廊 〜 Faith in the Goddess of Suwa.,"Feb 11, 2019",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),T.D,T.D,Visual Novel
149,"one night, hot springs","Aug 30, 2018",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),npckc,npckc,Visual Novel
150,Lake of Voices,"Aug 28, 2018",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),GB Patch Games,GB Patch Games,Visual Novel
152,東周列萌志 Philosophic Love,"Aug 17, 2018",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),"IWPLAY WORLD INTERACTIVE ENTERTAINMENT TECHNOLOGY CO., LTD.","IWPLAY WORLD INTERACTIVE ENTERTAINMENT TECHNOLOGY CO., LTD.",Visual Novel
160,Adolescent Santa Claus,"Jul 20, 2018",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),"TALESSHOP Co., Ltd.","TALESSHOP Co., Ltd.",Visual Novel
182,KOEWOTAYORINI / 声之寄托,"Mar 26, 2018",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),あみそ組,"Pujia8 Studio, Gamera Game",Visual Novel
191,A Raven Monologue,"Jan 11, 2018",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Mojiken,Toge Productions,Visual Novel
196,Summer Nightmare,"Nov 27, 2017",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Team Summer Nightmare,Elkibe Games,Visual Novel
197,Eternal Hour: Golden Hour,"Nov 27, 2017",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Seventh Heart Studios,Sekai Project,Visual Novel
213,The Monster Inside,"Aug 1, 2017",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Random Seed Games,Random Seed Games,Visual Novel
239,紅蜘蛛外伝：暗戦,"Dec 25, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),studio wasp,studio wasp,Visual Novel
256,Elisa: The Innkeeper - Prequel,"Jun 14, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Neoclassic Games,Neoclassic Games,Visual Novel
262,The Average Everyday Adventures of Samantha Browne,"Apr 18, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Lemonsucker Games,Lemonsucker Games,Visual Novel
263,Lucid9: Inciting Incident,"Apr 14, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Fallen Snow Studios,Fallen Snow Studios,Visual Novel
264,One Thousand Lies,"Mar 28, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Keinart Lobre,Keinart Lobre,Visual Novel
268,CUPID - A free to play Visual Novel,"Mar 4, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Fervent,Afterthought Studios,Visual Novel
273,Sepia Tears,"Jan 8, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),Scarlet String Studios,Scarlet String Studios,Visual Novel
275,The Sad Story of Emmeline Burns,"Jan 5, 2016",Free,N/A (N/A),"100,000 .. 200,000",0%,00:00 (00:00),ebi-hime,ebi-hime,Visual Novel
