#,Game,Release date,Price,Score rank(Userscore / Metascore),Owners,Players,Playtime (Median),Developer(s),Publisher(s),Genre
234,Transformice,"Jan 30, 2015",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Atelier 801,Atelier 801,Racing
241,Just Cause 2: Multiplayer Mod,"Dec 16, 2013",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Avalanche Studios,Square Enix,Racing
245,Grand Theft Auto: Episodes from Liberty City,"Apr 12, 2010",,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Rockstar North / Toronto,Rockstar Games,Racing
248,TrackMania Nations Forever,"Apr 16, 2008",Free,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Nadeo,Ubisoft,Racing
451,The Crew 2,"Jun 28, 2018",$11.99,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Ivory Tower,Ubisoft,Racing
687,Car Mechanic Simulator 2018,"Jul 28, 2017",$19.99,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Red Dot Games,PlayWay S.A.,Racing
814,My Summer Car,"Oct 24, 2016",$14.99,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),Amistech Games,Amistech Games,Racing
1004,Sleeping Dogs: Definitive Edition,"Oct 8, 2014",$2.99,N/A (N/A),"2,000,000 .. 5,000,000",0%,00:00 (00:00),"United Front Games, Feral Interactive (Mac)","Square Enix, Feral Interactive (Mac)",Racing
4,Burnout Paradise: The Ultimate Box,"Feb 3, 2009",,N/A (N/A/87%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Criterion Games,Electronic Arts,Racing
12,AudioSurf,"Feb 15, 2008",$9.99,N/A (N/A/85%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Dylan Fitterer,Pixel After Pixel,Racing
13,DiRT Rally 2.0,"Feb 25, 2019",$19.99,N/A (N/A/84%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Codemasters,"Codemasters, Electronic Arts",Racing
15,Project CARS 2,"Sep 21, 2017",,N/A (N/A/84%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Slightly Mad Studios,BANDAI NAMCO Entertainment,Racing
20,Project CARS,"May 6, 2015",,N/A (N/A/83%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Slightly Mad Studios,"Codemasters, Slightly Mad Studios, Electronic Arts",Racing
27,Wreckfest,"Jun 14, 2018",$29.99,N/A (N/A/81%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Bugbear,THQ Nordic,Racing
44,RAGE,"Oct 3, 2011",$9.99,N/A (N/A/79%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),id Software,Bethesda Softworks,Racing
54,Clustertruck,"Sep 27, 2016",$2.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Landfall,tinyBuild,Racing
58,Need for Speed Rivals,"Jun 4, 2020",$19.99,N/A (N/A/76%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Criterion Games,Electronic Arts,Racing
72,Steep,"Dec 2, 2016",$4.49,N/A (N/A/72%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),"Ubisoft Annecy, Ubisoft Montpellier, Ubisoft Kiev",Ubisoft,Racing
101,Need for Speed Undercover,"Nov 18, 2008",,N/A (N/A/65%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),EA Black Box,Electronic Arts,Racing
106,Need for Speed Payback,"Nov 6, 2017",$29.99,N/A (N/A/62%),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Ghost Games,Electronic Arts,Racing
138,音灵 INVAXION,"Dec 19, 2018",,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Nanjing AQUATRAX,bilibili,Racing
208,High Octane Drift,"Oct 11, 2016",Free,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Cruderocks,Cruderocks,Racing
608,CarX Drift Racing Online,"Nov 17, 2017",$14.99,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),"CarX Technologies, LLC","CarX Technologies, LLC",Racing
626,MudRunner,"Oct 30, 2017",$19.99,N/A (N/A),"1,000,000 .. 2,000,000",0%,00:00 (00:00),Saber Interactive,Focus Entertainment,Racing
